time(ms), left_angle(rad), right_angle(rad), theta(rad), x(m), y(m)
25,0.00448799,0.00448799,0,0.00010097978,0
45,0.00448799,0.01795196,0.0029411586,0.00025244924,0.00000022178463
65,0.01795196,0.03141593,0.0029411586,0.00055538764,0.0000009642778
85,0.0448799,0.053855877,0.0019607726,0.001110775,0.0000021779802
105,0.07180784,0.080783814,0.0019607726,0.0017166525,0.0000033659696
125,0.107711755,0.11668773,0.0019607726,0.002524489,0.0000049499554
145,0.14810365,0.16605562,0.003921547,0.003534282,0.000007965572
165,0.20195954,0.22439949,0.00490193,0.0047965157,0.000013878634
185,0.2692794,0.2962073,0.0058823167,0.006361677,0.000022711372
205,0.3455752,0.36801517,0.00490193,0.008027817,0.00003209477
225,0.435335,0.45777494,0.00490193,0.010047388,0.000041994645
245,0.5340708,0.55651075,0.00490193,0.012268917,0.000052884512
265,0.63280654,0.6552465,0.00490193,0.014490445,0.00006377437
285,0.74051833,0.75847024,0.0039215307,0.016863443,0.000074841926
305,0.85720605,0.87067,0.0029411572,0.019438405,0.00008556373
325,0.98286974,0.9963337,0.0029411572,0.022265825,0.00009387965
345,1.1085335,1.1175095,0.0019607707,0.02504276,0.00010138404
365,1.2431731,1.2476611,0.0009803842,0.028021658,0.000106512816
385,1.3867888,1.3823009,-0.0009803888,0.03115203,0.000106524756
405,1.5259165,1.5169405,-0.0019607753,0.034231912,0.000102744
425,1.6740202,1.6605562,-0.0029411619,0.037513744,0.000093914685
445,1.8266118,1.8041719,-0.004901909,0.040846046,0.000080859514
465,1.9836915,1.9567635,-0.0058822953,0.044329803,0.000062922816
485,2.1407712,2.1093552,-0.006862682,0.047813546,0.00004157069
505,2.2978508,2.261947,-0.007843068,0.051297262,0.000016803167
525,2.4639063,2.4280024,-0.007843068,0.055033393,-0.000012500176
545,2.629962,2.585082,-0.009803841,0.05866851,-0.00004634346
565,2.8094816,2.7601137,-0.010784227,0.06265699,-0.000088434885
585,2.9710493,2.9127054,-0.012745,0.06619104,-0.00013009903
605,3.1415927,3.0787609,-0.013725387,0.06997743,-0.00018114905
625,3.3166244,3.2493045,-0.014705773,0.07386474,-0.00023734629
645,3.487168,3.4153602,-0.01568616,0.07765106,-0.00029393978
665,3.6621995,3.5903919,-0.015686108,0.08158881,-0.00035378244
685,3.8372312,3.7609353,-0.016666494,0.08547603,-0.00041572074
705,4.007775,3.931479,-0.016666494,0.08931274,-0.000479671
725,4.1872945,4.1065106,-0.01764688,0.093300834,-0.0005490828
745,4.357838,4.2770543,-0.01764688,0.097137466,-0.0006167945
765,4.537358,4.456574,-0.01764688,0.10117602,-0.0006880699
785,4.716877,4.6271176,-0.01960755,0.10511355,-0.0007614087
805,4.8874207,4.802149,-0.018627267,0.10900058,-0.00083479437
825,5.0714283,4.9816685,-0.019607654,0.113089494,-0.0009139558
845,5.24646,5.1567,-0.019607654,0.11702699,-0.0009892398
865,5.4259796,5.33622,-0.019607654,0.121065415,-0.0010684339
885,5.6010113,5.5112514,-0.019607654,0.12500288,-0.0011456481
905,5.780531,5.690771,-0.019607654,0.1290413,-0.0012248422
925,5.9600506,5.8702908,-0.019607654,0.13307972,-0.0013040362
945,6.135082,6.045322,-0.019607654,0.13701716,-0.0013812502
965,6.3146014,6.2248416,-0.019607654,0.14105558,-0.0014604443
985,6.494121,6.3998733,-0.02058804,0.1450435,-0.0015396059
1005,6.6691527,6.579393,-0.019607654,0.14903142,-0.0016187826
1025,6.8531604,6.7589126,-0.02058804,0.1531203,-0.001699924
1045,7.028192,6.933944,-0.02058804,0.1570577,-0.0017790683
1065,7.2077117,7.117952,-0.019607654,0.16114654,-0.0018622542
1085,7.382743,7.292983,-0.019607654,0.16508397,-0.0019394682
1105,7.5622625,7.4680147,-0.02058804,0.16907185,-0.0020206096
1125,7.741782,7.6475344,-0.02058804,0.17311016,-0.0021057418
1145,7.921302,7.822566,-0.021568427,0.17709795,-0.0021907927
1165,8.1008215,7.9975977,-0.022548813,0.1810857,-0.0022776753
1185,8.280341,8.177117,-0.022548813,0.18512386,-0.0023687466
1205,8.455373,8.352149,-0.022548813,0.18906106,-0.002457541
1225,8.63938,8.531669,-0.0235292,0.19314967,-0.002550757
1245,8.809924,8.7067,-0.022548813,0.19703639,-0.0026393856
1265,8.993932,8.881732,-0.024509586,0.2010744,-0.0027363799
1285,9.182427,9.070228,-0.024509586,0.20531428,-0.0028403183
1305,9.348482,9.231795,-0.025489764,0.20899889,-0.0029316032
1325,9.528002,9.411314,-0.025489764,0.21303676,-0.00303455
1345,9.707521,9.581858,-0.027450537,0.21697359,-0.0031387678
1365,9.887041,9.761377,-0.027450537,0.22101127,-0.003249632
1385,10.066561,9.936409,-0.028430924,0.22499844,-0.0033600677
1405,10.241592,10.111441,-0.028430924,0.22893506,-0.0034720195
1425,10.4256,10.29096,-0.02941131,0.233023,-0.003591263
1445,10.596144,10.461504,-0.02941131,0.23685856,-0.0037041048
